priority,route,primary_keyword,secondary_keywords,search_intent,title
"P1","/office-space-vaishnodevi-circle-ahmedabad","office space Vaishnodevi Circle Ahmedabad","commercial office near Vaishnodevi Circle | office space near Nirma University Ahmedabad","commercial/research","Office Space Near Vaishnodevi Circle Ahmedabad | SG Highway"
"P1","/ready-to-move-office-space-ahmedabad","ready to move office space Ahmedabad","furnished office space Ahmedabad | plug and play office Ahmedabad | ready office SG Highway | fitted office space Ahmedabad","transactional/commercial","Ready-to-Move Office Space Ahmedabad | Occupancy Checklist"
"P1","/retail-space-sg-highway-ahmedabad","retail space SG Highway Ahmedabad","retail space for rent SG Highway | commercial retail Ahmedabad | shop space near Vaishnodevi Circle | retail in office park Ahmedabad","transactional/commercial","Retail Space on SG Highway Ahmedabad | Leasing Guide"
"P1","/showroom-space-sg-highway-ahmedabad","showroom space SG Highway Ahmedabad","showroom for rent SG Highway Ahmedabad | luxury showroom Ahmedabad | commercial showroom near Vaishnodevi Circle | retail showroom space Ahmedabad","transactional/commercial","Showroom Space on SG Highway Ahmedabad | Selection Guide"
"P2","/about","about this website","","informational","About This Website | Million Minds Tech City Ahmedabad Guide"
"P2","/built-to-suit-office-space-ahmedabad","built to suit office space Ahmedabad","custom office building Ahmedabad | built to suit commercial property | bespoke enterprise office Ahmedabad | large office development Ahmedabad","commercial/research","Built-to-Suit Office Space Ahmedabad | Enterprise Guide"
"P2","/contact","contact the leasing & research team","","informational","Contact PIKORUA Realty | Million Minds Tech City Enquiries"
"P2","/disclaimer","independent website disclaimer","","informational","Independent Website Disclaimer | Million Minds"
"P2","/editorial-policy","editorial policy","","informational","Editorial Policy | Million Minds Tech City Independent Guide"
"P2","/large-office-space-ahmedabad","large office space Ahmedabad","large floor plate office Ahmedabad | enterprise office space Ahmedabad","commercial/research","Large Office Space in Ahmedabad | Enterprise & GCC Guide"
"P2","/localities/chandkheda-ahmedabad","Chandkheda Ahmedabad office location","office near Chandkheda Ahmedabad | commercial office Chandkheda | north Ahmedabad employee commute","local informational/commercial","Chandkheda Ahmedabad Office Location & Commute Guide"
"P2","/localities/gota-ahmedabad","Gota Ahmedabad office location","office space near Gota Ahmedabad | commercial property Gota | Gota SG Highway office","local informational/commercial","Gota Ahmedabad Office Location Guide | SG Highway Context"
"P2","/localities/motera-ahmedabad","Motera Ahmedabad office location","office near Motera Ahmedabad | commercial office Motera | Motera to SG Highway office commute","local informational/commercial","Motera Ahmedabad Office Location | Leasing Guide"
"P2","/localities/zundal-ahmedabad","Zundal Ahmedabad office location","office near Zundal Ahmedabad | commercial property Zundal | north Ahmedabad office commute","local informational/commercial","Zundal Ahmedabad Office Location | Business Guide"
"P2","/managed-office-ahmedabad-sg-highway","managed office SG Highway Ahmedabad","managed office Ahmedabad | managed workspace Million Minds Tech City","commercial/research","Managed Office on SG Highway Ahmedabad | Enterprise Guide"
"P2","/million-minds-tech-city-amenities","amenities at million minds tech city","","informational","Million Minds Tech City Amenities | Ahmedabad"
"P2","/privacy-policy","privacy policy","","informational","Privacy Policy | millionmindstechcity.in"
"P2","/sources-methodology","sources & verification methodology","","informational","Sources & Methodology | Million Minds Tech City Research"
"P2","/terms","website terms","","informational","Website Terms | millionmindstechcity.in"
